Удаљеност од радног места оца,Удаљеност од радног места мајке,Просечна удаљеност од школа,Приступ јавном превозу,Доступност трговине,Доступност садржаjа за децу,Доступност здравствених установа,Квадратура унутрашњег простора,Број спаваћих соба,Број купатила,Кухиња,Трпезариjа,Дневна соба,Распоред соба,Старост стамбене jединице,Последња реновациjа,Квалитет градње,Енергетска ефикасност,Приватна гаража,Дељена гаража,Jавни паркинг,Површина дворишта,Башта или тераса,Оријентација према сунцу,Тип интернет конекције,Околина и безбедност,Цена
5,3,0.5,3,50,5,4,120,3,2,3,велика,4,одличан,5,5,висок,A,2,2,3,100,3,3,5,одлична,130000
3,2,1,2,100,4,3,100,2,1,2,осредња,3,добар,10,10,виши средњи,B,1,1,2,80,2,2,4,врло добра,95000
5,4,2,1,200,3,2,75,2,1,1,мала,2,лош,20,10,нижи средњи,C,0,1,1,50,1,1,3,добра,85000
8,5,3,0,500,2,1,50,1,1,1,нема,1,лош,40,15,низак,D или мање,0,0,0,0,0,1,2,прихватљива,60000
5,4,2,3,50,5,4,150,3,2,3,велика,4,одличан,8,4,виши средњи,A,2,2,3,150,3,3,5,одлична,140000
6,3,1,2,150,4,3,110,2,1,2,осредња,3,добар,12,8,виши средњи,B,1,1,2,90,2,2,4,врло добра,105000
4,4,1,2,100,3,2,85,2,1,2,мала,2,добар,15,12,нижи средњи,C,1,0,1,70,1,1,3,добра,90000
10,8,3,1,250,2,1,60,1,1,1,нема,1,лош,25,20,низак,D или мање,0,0,0,30,0,1,2,прихватљива,70000
2,1,0.5,3,50,5,4,80,3,2,3,велика,4,одличан,10,10,висок,A,2,2,3,120,3,3,5,одлична,125000
7,6,2,1,200,2,2,90,2,1,2,осредња,3,лош,18,15,нижи средњи,C,0,1,2,60,1,1,3,добра,80000
